사용장소,방문횟수,사용금액
(주)신세계페이먼츠,4,546290
11번가,4,232240
GS슈퍼마켓,4,381680
가마솥,4,224000
감나무집,33,6527500
강강술래,21,5068500
강촌민물매운탕2호점,7,547000
갯바위,6,458000
거목쟁반짜장,8,136500
고려왕족발,5,351000
고창복의낙지세상,11,1183000
구수옥설렁탕,9,586000
그린파크식당,5,1600000
금비,12,2756000
기절초풍왕순대,4,119000
김가네,9,617500
김밥,5,1021000
김밥천국,6,347000
나주곰탕,12,928500
나주오리종가,4,457000
남도전문음식점,5,1188000
남원추어탕,33,3146000
다리목,12,2760000
다이소,8,97700
당곡기사식당,11,846000
대호아구집,7,456000
동강염소탕,4,403000
등갈비연탄구이,4,434000
떡보의하루,22,3453600
라온,5,311500
마켓동광,4,184000
만리장성,21,2247000
맘스터치,6,145600
먹쉬돈나,6,283000
메밀꽃밭언덕너머,9,445500
명태어장,10,889000
명품횡성한우가,13,3230000
모리,6,160000
목포부부아구찜,7,747000
미가할매집,8,1177000
미추원주추어탕,5,821000
바다양푼이동태탕,4,149000
백채,6,184000
베리베리,6,116000
본죽,15,615000
봉천동진순자김밥,8,395000
북경반점,7,763000
사랑방,5,951000
사사꼬,9,467500
사시사철흑염소오리,7,1048000
산야로,31,1916000
삼미옥,7,836000
상도스시,4,322000
생각보다맛있는집,21,1158000
서울대곱창,4,312500
서울삼족탕,5,467000
선우정,5,672900
세컨드페이지,4,114800
송원마포갈비,4,160000
숨은집,7,1007000
시골집,45,9381000
신부산횟집,4,614000
신안바다장어,5,408000
쌈마을,26,4350000
아리차이,10,1605000
안집,8,705000
양평해장국,6,272000
어메칼국수,18,768500
얼큰수제비해물칼국수,18,614500
영덕물회막회,5,711000
옛날육개장,26,2664000
오리오리,31,2076000
옥천골,40,6801000
완산정,5,235500
외래향,5,416000
용궁,4,208500
우리가참김치,6,744000
우리동네고기집,22,7319900
우리참순대,7,326000
우성각,5,790000
우쥬커피,4,137900
유천칡냉면,5,338000
은성숯불갈비,19,1867100
이금옥샤브샤브칼국수,11,1158000
일구칠구매운탕,5,487000
일커피,9,170000
자연별곡,9,862400
작은따옴표,4,930000
장군집,7,263000
장보고마트,25,6522210
장수삼계탕,6,180000
장터순대국,5,743000
쟝블랑제리,13,644550
전진식당,10,314000
정가,11,2617000
정담은보쌈,6,993500
정육점식당,6,279000
제주은갈치,93,11714000
진우리독도참치,6,863000
청능장,19,1009000
초대,4,622000
추어탕전문점대령숙수,5,504000
카모메,10,681400
카페모아,14,452900
커피빈코리아,4,78600
컴포즈커피,9,147900
코코미,9,798000
콩심,22,540000
쿠우쿠우,7,663300
쿠팡,18,4820410
태창온누리약국,9,502700
통큰대박집,13,2985000
투썸서울대입구역,4,56790
티라노,9,310000
파리바게뜨,33,1125300
페리카나,10,1359000
풍년오리,4,468000
풍년옥,4,540000
풍년집,4,122000
풍천장어,6,760000
하이보,23,4470000
한근한방삼계탕,10,627000
할매보쌈,5,408000
해물나라,17,1892000
홍콩반점,7,278500
황복,6,390000
후포리,4,535000
흥부보쌈,8,1167000
