Source,Week,Spend,CPI,Impression,Click,Install,Purchase,Sales,Cost per Purchase,LTV,ROAS,설치당 매출,구매당 매출,설치당 구매횟수
A,1,3481.6,14.04,113348,491,248,49.0,715.14,71.05,2.17,20.54055606617647,2.8836290322580647,14.59469387755102,0.1975806451612903
A,2,2804.0,18.57,92149,359,151,26.0,396.69,107.84,1.98,14.147289586305279,2.6270860927152317,15.257307692307693,0.17218543046357615
A,3,2550.1,15.36,102420,429,166,23.0,277.39,110.87,1.3,10.877612642641466,1.671024096385542,12.060434782608695,0.13855421686746988
B,1,1826.6,2.55,349493,11691,717,1.0,6.87,1826.61,0.16,0.37610861710281396,0.009581589958158996,6.87,0.001394700139470014
B,2,1417.9,2.22,321994,11797,640,2.0,10.21,708.95,0.15,0.7200789900557162,0.015953125000000002,5.105,0.003125
B,3,1452.5,2.48,325825,11748,585,1.0,6.83,1452.49,0.14,0.470223752151463,0.011675213675213675,6.83,0.0017094017094017094
C,1,801.0,2.72,25535,359,294,1.0,6.61,801.0,0.18,0.8252184769038702,0.02248299319727891,6.61,0.003401360544217687
C,2,793.0,2.59,21245,364,306,1.0,5.76,793.0,0.18,0.7263556116015133,0.018823529411764704,5.76,0.0032679738562091504
C,3,1171.0,2.78,39080,516,421,2.0,10.03,585.5,0.17,0.856532877882152,0.02382422802850356,5.015,0.004750593824228029
D,1,3525.4,3.93,274921,31737,897,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0
D,2,3042.7,4.58,149653,21113,664,7.0,145.26,434.68,0.34,4.774049364051665,0.21876506024096384,20.75142857142857,0.010542168674698794
D,3,1912.7,4.12,77416,12525,464,2.0,34.6,956.36,0.22,1.8089611543890833,0.07456896551724138,17.3,0.004310344827586207
E,1,2098.0,9.85,131223,889,213,33.0,526.14,63.58,1.94,25.078169685414682,2.4701408450704223,15.943636363636363,0.15492957746478872
E,2,2097.0,13.02,138881,808,161,22.0,263.26,95.32,1.33,12.554124940391034,1.6351552795031055,11.966363636363637,0.13664596273291926
E,3,1254.7,13.21,84992,504,95,6.0,88.19,209.11,0.82,7.028771817964453,0.9283157894736842,14.698333333333332,0.06315789473684211
F,1,8103.4,7.69,4113927,40306,1054,94.0,1386.94,86.21,1.13,17.115531752104058,1.3158823529411765,14.75468085106383,0.08918406072106262
F,2,4216.6,7.3,911325,15190,578,32.0,452.56,131.77,0.74,10.732817910164586,0.7829757785467129,14.1425,0.05536332179930796
F,3,4217.0,6.99,1214131,19141,603,32.0,452.96,131.78,0.69,10.741285273891393,0.7511774461028192,14.155,0.05306799336650083
G,1,4200.0,2.97,286913,56981,1416,13.0,160.7,323.08,0.24,3.826190476190476,0.11348870056497175,12.36153846153846,0.009180790960451978
G,2,7600.0,3.18,540569,111038,2388,52.0,488.66,146.15,0.29,6.429736842105263,0.2046314907872697,9.397307692307693,0.021775544388609715
G,3,6800.0,3.59,638409,100261,1892,19.0,201.34,357.89,0.28,2.9608823529411765,0.10641649048625793,10.596842105263159,0.01004228329809725
